Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C08,RT,9348,9/7/09,2009,9,1,1,175,54,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9348,LIdri,LIdri_RT,1
C08,RT,9349,6/15/09,2009,6,1,1,139,29,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9349,LIdri,LIdri_RT,1
C08,RT,9349,9/7/09,2009,9,1,1,171,50,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9349,LIdri,LIdri_RT,1
C08,RT,9354,6/15/09,2009,6,1,1,164,49,1,NA,1,NA,NA,NA,2008,2008,C08,1,9354,LIdri,LIdri_RT,1
C08,RT,9354,9/7/09,2009,9,1,2,195,78,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9354,LIdri,LIdri_RT,1
C08,RT,9359,6/15/09,2009,6,1,1,175,63,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9359,LIdri,LIdri_RT,1
C08,RT,9359,9/7/09,2009,9,1,1,199,85,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9359,LIdri,LIdri_RT,1
C08,RT,9359,6/14/10,2010,6,1,1,225,130,2,NA,NA,NA,NA,NA,2008,2008,C08,2,9359,LIdri,LIdri_RT,1
C08,RT,9359,9/12/11,2011,9,1,1,279,232,3,NA,NA,NA,NA,NA,2008,2008,C08,3,9359,LIdri,LIdri_RT,1
C08,RT,9360,9/7/09,2009,9,1,1,197,76,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9360,LIdri,LIdri_RT,1
C08,RT,9366,6/15/09,2009,6,1,1,124,23,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9366,LIdri,LIdri_RT,1
C08,RT,9367,9/7/09,2009,9,1,2,172,53,1,NA,1,NA,NA,NA,2008,2008,C08,1,9367,LIdri,LIdri_RT,1
C08,RT,9367,6/14/10,2010,6,1,1,218,106,2,NA,NA,NA,NA,NA,2008,2008,C08,2,9367,LIdri,LIdri_RT,1
C08,RT,9373,9/7/09,2009,9,1,1,196,73,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9373,LIdri,LIdri_RT,1
C08,RT,9373,6/14/10,2010,6,1,1,256,158,2,NA,NA,NA,NA,NA,2008,2008,C08,2,9373,LIdri,LIdri_RT,1
C08,RT,9373,9/22/10,2010,9,1,1,268,185,2,NA,NA,NA,R616,NA,2008,2008,C08,2,9373,LIdri,LIdri_RT,1
C04,RT,9376,6/10/05,2005,6,1,1,161,43.1,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9376,LIdri,LIdri_RT,1
C08,RT,9378,6/15/09,2009,6,1,1,147,34,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9378,LIdri,LIdri_RT,1
C08,RT,9378,9/7/09,2009,9,1,1,179,56,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9378,LIdri,LIdri_RT,1
C08,RT,9378,6/14/10,2010,6,1,2,232,131,2,NA,NA,NA,NA,NA,2008,2008,C08,2,9378,LIdri,LIdri_RT,1
C08,RT,9382,6/15/09,2009,6,1,1,133,27,1,NA,1,NA,NA,NA,2008,2008,C08,1,9382,LIdri,LIdri_RT,1
C04,RT,9383,6/10/05,2005,6,1,1,128,22.3,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9383,LIdri,LIdri_RT,1
C04,RT,9389,6/10/05,2005,6,1,1,134,27.3,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9389,LIdri,LIdri_RT,1
C08,RT,9407,9/11/08,2008,9,1,1,115,16.6,0,NA,NA,NA,NA,NA,2008,2008,C08,0,9407,LIdri,LIdri_RT,1
C07,RT,9409,9/11/08,2008,9,1,1,201,85.9,1,NA,NA,NA,NA,NA,2007,2007,C07,1,9409,LIdri,LIdri_RT,1
C08,RT,9417,6/15/09,2009,6,1,1,159,40,1,NA,1,NA,NA,NA,2008,2008,C08,1,9417,LIdri,LIdri_RT,1
C08,RT,9417,9/7/09,2009,9,1,1,199,90,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9417,LIdri,LIdri_RT,1
C08,RT,9420,6/15/09,2009,6,1,1,154,39,1,NA,1,NA,NA,NA,2008,2008,C08,1,9420,LIdri,LIdri_RT,1
C07,RT,9421,9/11/08,2008,9,1,1,212,90.5,1,NA,1,NA,NA,NA,2007,2007,C07,1,9421,LIdri,LIdri_RT,1
C08,RT,9427,6/15/09,2009,6,1,1,136,31,1,NA,1,NA,NA,NA,2008,2008,C08,1,9427,LIdri,LIdri_RT,1
C06,RT,9457,9/11/08,2008,9,1,1,253,157.6,2,NA,NA,NA,NA,NA,2006,2006,C06,2,9457,LIdri,LIdri_RT,1
C08,RT,9475,6/15/09,2009,6,1,1,163,48,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9475,LIdri,LIdri_RT,1
C07,RT,9476,6/15/09,2009,6,1,1,268,203,2,NA,NA,NA,NA,NA,2007,2007,C07,2,9476,LIdri,LIdri_RT,1
C07,RT,9476,9/7/09,2009,9,1,1,285,229,2,NA,NA,NA,NA,NA,2007,2007,C07,2,9476,LIdri,LIdri_RT,1
